"Journal Data Filtered By:  Selected Categories: BIOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,ISSN,eISSN,Category,JIF Quartile,2020 JIF
"BIOLOGICAL REVIEWS","1464-7931","1469-185X","BIOLOGY - SCIE","Q1","12.82",
"Physics of Life Reviews","1571-0645","1873-1457","BIOLOGY - SCIE","Q1","11.025",
"CURRENT BIOLOGY","0960-9822","1879-0445","BIOLOGY - SCIE","Q1","10.834",
"BIOSCIENCE","0006-3568","1525-3244","BIOLOGY - SCIE","Q1","8.589",
"eLife","2050-084X","2050-084X","BIOLOGY - SCIE","Q1","8.146",
"PLOS BIOLOGY","1544-9173","1545-7885","BIOLOGY - SCIE","Q1","8.029",
"BMC BIOLOGY","N/A","1741-7007","BIOLOGY - SCIE","Q1","7.431",
"Communications Biology","N/A","2399-3642","BIOLOGY - SCIE","Q1","6.268",
"PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8436","1471-2970","BIOLOGY - SCIE","Q1","6.238",
"Science China-Life Sciences","1674-7305","1869-1889","BIOLOGY - SCIE","Q1","6.038",
"BIOLOGICAL RESEARCH","0716-9760","0717-6287","BIOLOGY - SCIE","Q1","5.612",
"BIOELECTROCHEMISTRY","1567-5394","1878-562X","BIOLOGY - SCIE","Q1","5.373",
"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8452","1471-2954","BIOLOGY - SCIE","Q1","5.349",
"FASEB JOURNAL","0892-6638","1530-6860","BIOLOGY - SCIE","Q1","5.192",
"Current Opinion in Insect Science","2214-5745","2214-5753","BIOLOGY - SCIE","Q1","5.186",
"Biology-Basel","N/A","2079-7737","BIOLOGY - SCIE","Q1","5.079",
"QUARTERLY REVIEW OF BIOLOGY","0033-5770","1539-7718","BIOLOGY - SCIE","Q1","4.875",
"Life Science Alliance","N/A","2575-1077","BIOLOGY - SCIE","Q1","4.591",
"COMPUTERS IN BIOLOGY AND MEDICINE","0010-4825","1879-0534","BIOLOGY - SCIE","Q1","4.589",
"Biology Direct","N/A","1745-6150","BIOLOGY - SCIE","Q1","4.54",
"Geobiology","1472-4677","1472-4669","BIOLOGY - SCIE","Q1","4.407",
"BIOESSAYS","0265-9247","1521-1878","BIOLOGY - SCIE","Q1","4.345",
"ASTROBIOLOGY","1531-1074","1557-8070","BIOLOGY - SCIE","Q1","4.335",
"SAUDI JOURNAL OF BIOLOGICAL SCIENCES","1319-562X","2213-7106","BIOLOGY - SCIE","Q2","4.219",
"EXCLI Journal","1611-2156","1611-2156","BIOLOGY - SCIE","Q2","4.068",
"Interface Focus","2042-8898","2042-8901","BIOLOGY - SCIE","Q2","3.906",
